Title,Artist,Release Date,Year,Popularity,Track ID,Valence,Energy,Danceability,Loudness,Acousticness,Spotify_Link,Cluster,Mood
Pink + White,Frank Ocean,8/20/2016,2016,87,3xKsf9qdS1CyvXSMEid6g8,0.549,0.545,0.545,-7.362,0.667,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8,1,Calm
Get You (feat. Kali Uchis),Daniel Caesar,8/25/2017,2017,82,7zFXmv6vqI4qOt4yGf3jYZ,0.358,0.294,0.658,-8.533,0.422,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ,2,Sad
Poison,Brent Faiyaz,8/3/2016,2016,78,5NijSs5dAwaIybq1GaRTIe,0.382,0.394,0.689,-10.102,0.711,https://open.spotify.com/track/5NijSs5dAwaIybq1GaRTIe,2,Sad
Girl With The Tattoo Enter.lewd,Miguel,11/26/2010,2010,80,1eUGmzzvahJjOSWgDHuRlv,0.127,0.239,0.372,-11.314,0.856,https://open.spotify.com/track/1eUGmzzvahJjOSWgDHuRlv,2,Sad
Like I Want You,Giveon,3/27/2020,2020,73,6qBFSepqLCuh5tehehc1bd,0.438,0.355,0.678,-7.757,0.759,https://open.spotify.com/track/6qBFSepqLCuh5tehehc1bd,2,Sad
While We're Young,Jhené Aiko,9/22/2017,2017,68,4mL59LVbKgOpEACxraGYdr,0.811,0.791,0.649,-6.013,0.104,https://open.spotify.com/track/4mL59LVbKgOpEACxraGYdr,3,Happy
Deep,Summer Walker,10/19/2018,2018,73,3LfHBTYZBTqmz43tvVXJBd,0.419,0.335,0.646,-9.915,0.626,https://open.spotify.com/track/3LfHBTYZBTqmz43tvVXJBd,2,Sad
Sorrows,Bryson Tiller,10/2/2020,2020,74,5TXQCMKN6TgemTL3c4wRTn,0.761,0.793,0.633,-6.847,0.148,https://open.spotify.com/track/5TXQCMKN6TgemTL3c4wRTn,3,Happy
Love Galore (feat. Travis Scott),SZA,6/9/2017,2017,77,0q75NwOoFiARAVp4EXU4Bs,0.409,0.594,0.795,-6.2,0.112,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs,0,Anxious
Come and See Me (feat. Drake),PARTYNEXTDOOR,8/12/2016,2016,71,6cEguiQecbXrFlsnMi2ysr,0.0583,0.347,0.77,-10.265,0.0511,https://open.spotify.com/track/6cEguiQecbXrFlsnMi2ysr,2,Sad
SOMEBODY,keshi,3/25/2022,2022,63,3iqlzKw1tLt6tXZyKWV0fZ,0.487,0.461,0.649,-8.401,0.442,https://open.spotify.com/track/3iqlzKw1tLt6tXZyKWV0fZ,1,Calm
Nights,Frank Ocean,8/20/2016,2016,78,7eqoqGkKwgOaWNNHx90uEZ,0.428,0.551,0.457,-9.36,0.427,https://open.spotify.com/track/7eqoqGkKwgOaWNNHx90uEZ,0,Anxious
Language,Paperboy Fabe,5/12/2017,2017,77,4RnvS1tmh1ERhjXX6dxv95,0.77,0.721,0.62,-5.538,0.0422,https://open.spotify.com/track/4RnvS1tmh1ERhjXX6dxv95,3,Happy
ALL MINE,Brent Faiyaz,7/8/2022,2022,76,3XgGQ1wjo5khvq2UImjyNF,0.22,0.378,0.617,-8.54,0.428,https://open.spotify.com/track/3XgGQ1wjo5khvq2UImjyNF,2,Sad
Love,Keyshia Cole,1/1/2005,2005,80,0W4NhJhcqKCqEP2GIpDCDq,0.314,0.518,0.688,-4.285,0.0642,https://open.spotify.com/track/0W4NhJhcqKCqEP2GIpDCDq,2,Sad
Transform (feat. Charlotte Day Wilson),Daniel Caesar,8/25/2017,2017,68,1jQfgl9WRle7D8a3GXLwaD,0.348,0.292,0.498,-10.656,0.511,https://open.spotify.com/track/1jQfgl9WRle7D8a3GXLwaD,2,Sad
The Beach,Giveon,3/27/2020,2020,64,2Hd7uGbl8PX0IxyX59VFOg,0.223,0.509,0.649,-9.502,0.181,https://open.spotify.com/track/2Hd7uGbl8PX0IxyX59VFOg,2,Sad
Tonight,Summer Walker,10/4/2019,2019,66,1qC6px1TOZgQFoTSOFUaBr,0.215,0.534,0.715,-6.536,0.169,https://open.spotify.com/track/1qC6px1TOZgQFoTSOFUaBr,2,Sad
